id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
E3Qqa99qFy1oeGMv0wPBBQ,tora-japanese-restaurant-boston,Tora Japanese Restaurant,https://s3-media3.fl.yelpcdn.com/bphoto/ZdaYpgEanbdruQkWD3hNog/o.jpg,False,https://www.yelp.com/biz/tora-japanese-restaurant-boston?adjust_creative=wthJPTmKTKIWSlWcsujVAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=wthJPTmKTKIWSlWcsujVAA,553,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'poke', 'title': 'Poke'}]",4.5,"{'latitude': 42.35076, 'longitude': -71.06054}","['pickup', 'delivery']",$$,"{'address1': '20B Tyler St', 'address2': None, 'address3': '', 'city': 'Boston', 'zip_code': '02111', 'country': 'US', 'state': 'MA', 'display_address': ['20B Tyler St', 'Boston, MA 02111']}",+16175426688,(617) 542-6688,934.5498165988719
baoHJnYFntDUICr10aFj8Q,sakana-cambridge-2,Sakana,https://s3-media1.fl.yelpcdn.com/bphoto/wb4xhJ26A03ufp_BT3PoLQ/o.jpg,False,https://www.yelp.com/biz/sakana-cambridge-2?adjust_creative=wthJPTmKTKIWSlWcsujVAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=wthJPTmKTKIWSlWcsujVAA,242,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'soup', 'title': 'Soup'}]",4.5,"{'latitude': 42.3693, 'longitude': -71.11082}","['pickup', 'delivery']",$$,"{'address1': '983 Massachusetts Ave', 'address2': None, 'address3': '', 'city': 'Cambridge', 'zip_code': '02138', 'country': 'US', 'state': 'MA', 'display_address': ['983 Massachusetts Ave', 'Cambridge, MA 02138']}",+16177144646,(617) 714-4646,4030.346044617833
Z6Io2AbJrof7TPVliMZkAg,fuji-at-ink-block-boston,Fuji at Ink Block,https://s3-media2.fl.yelpcdn.com/bphoto/xhHJpc9D6MyI-zJgyXdLzw/o.jpg,False,https://www.yelp.com/biz/fuji-at-ink-block-boston?adjust_creative=wthJPTmKTKIWSlWcsujVAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=wthJPTmKTKIWSlWcsujVAA,543,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,"{'latitude': 42.345077, 'longitude': -71.063505}","['pickup', 'delivery', 'restaurant_reservation']",$$,"{'address1': '352 Harrison Ave', 'address2': 'Ste B', 'address3': None, 'city': 'Boston', 'zip_code': '02118', 'country': 'US', 'state': 'MA', 'display_address': ['352 Harrison Ave', 'Ste B', 'Boston, MA 02118']}",+16179363282,(617) 936-3282,706.3573293177284
87f7kR7nTz8WHnmtLM_S6w,o-ya-boston,O Ya,https://s3-media4.fl.yelpcdn.com/bphoto/XdZZEbAlO2Jcnec5dF6ELQ/o.jpg,False,https://www.yelp.com/biz/o-ya-boston?adjust_creative=wthJPTmKTKIWSlWcsujVAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=wthJPTmKTKIWSlWcsujVAA,756,"[{'alias': 'japanese', 'title': 'Japanese'}]",4.5,"{'latitude': 42.3514083135866, 'longitude': -71.056866645813}",['delivery'],$$$$,"{'address1': '9 East St Pl', 'address2': '', 'address3': '', 'city': 'Boston', 'zip_code': '02111', 'country': 'US', 'state': 'MA', 'display_address': ['9 East St Pl', 'Boston, MA 02111']}",+16176549900,(617) 654-9900,1246.2350638455794
n0NNUVwW-wEKc433oKZX5A,kura-revolving-sushi-bar-watertown,Kura Revolving Sushi Bar,https://s3-media3.fl.yelpcdn.com/bphoto/wluC7r52cjLQKoJ-n-8_mw/o.jpg,False,https://www.yelp.com/biz/kura-revolving-sushi-bar-watertown?adjust_creative=wthJPTmKTKIWSlWcsujVAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=wthJPTmKTKIWSlWcsujVAA,71,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'conveyorsushi', 'title': 'Conveyor Belt Sushi'}]",4.0,"{'latitude': 42.3604231, 'longitude': -71.1898877}",[],,"{'address1': '101 Bond St', 'address2': '', 'address3': None, 'city': 'Watertown', 'zip_code': '02472', 'country': 'US', 'state': 'MA', 'display_address': ['101 Bond St', 'Watertown, MA 02472']}",+16176757575,(617) 675-7575,7446.723593514131
b6Qq-pDnLwMOfw7V2Fklcg,fuki-japanese-cuisine-somerville-5,Fuki Japanese Cuisine,https://s3-media2.fl.yelpcdn.com/bphoto/K9hUsNtMr97GXAR9zVH5lg/o.jpg,False,https://www.yelp.com/biz/fuki-japanese-cuisine-somerville-5?adjust_creative=wthJPTmKTKIWSlWcsujVAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=wthJPTmKTKIWSlWcsujVAA,16,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]",4.5,"{'latitude': 42.38074, 'longitude': -71.09724}","['pickup', 'delivery']",,"{'address1': '16 Bow Street', 'address2': None, 'address3': '', 'city': 'Somerville', 'zip_code': '02143', 'country': 'US', 'state': 'MA', 'display_address': ['16 Bow Street', 'Somerville, MA 02143']}",+16177645182,(617) 764-5182,4231.960994523637
IqyqfQFnBsOIReGrcgaYhA,avana-sushi-boston,Avana Sushi,https://s3-media3.fl.yelpcdn.com/bphoto/jLuwa8b2mVmtVr7fFKjTvw/o.jpg,False,https://www.yelp.com/biz/avana-sushi-boston?adjust_creative=wthJPTmKTKIWSlWcsujVAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=wthJPTmKTKIWSlWcsujVAA,991,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]",4.0,"{'latitude': 42.3515433311481, 'longitude': -71.0609420250346}","['pickup', 'delivery']",$,"{'address1': '42 Beach St', 'address2': '', 'address3': '', 'city': 'Boston', 'zip_code': '02111', 'country': 'US', 'state': 'MA', 'display_address': ['42 Beach St', 'Boston, MA 02111']}",+16178187782,(617) 818-7782,941.2997632798429
kb0VfKZKHHhvDze3JZqi0Q,q-restaurant-boston,Q Restaurant,https://s3-media4.fl.yelpcdn.com/bphoto/fBtAMu25uFqRvXbGdJ1qlQ/o.jpg,False,https://www.yelp.com/biz/q-restaurant-boston?adjust_creative=wthJPTmKTKIWSlWcsujVAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=wthJPTmKTKIWSlWcsujVAA,1211,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'hotpot', 'title': 'Hot Pot'}]",4.0,"{'latitude': 42.3517075922991, 'longitude': -71.0625610949003}","['pickup', 'delivery', 'restaurant_reservation']",$$,"{'address1': '660 Washington St', 'address2': '', 'address3': '', 'city': 'Boston', 'zip_code': '02111', 'country': 'US', 'state': 'MA', 'display_address': ['660 Washington St', 'Boston, MA 02111']}",+18573503968,(857) 350-3968,832.975637129062
qBDpPs3Wg7EmUI5XGeUEdA,fugakyu-japanese-cuisine-brookline-2,Fugakyu Japanese Cuisine,https://s3-media2.fl.yelpcdn.com/bphoto/akIRmgurza6r-FrD0bPzFg/o.jpg,False,https://www.yelp.com/biz/fugakyu-japanese-cuisine-brookline-2?adjust_creative=wthJPTmKTKIWSlWcsujVAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=wthJPTmKTKIWSlWcsujVAA,1267,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]",4.0,"{'latitude': 42.342954, 'longitude': -71.119374642915}","['pickup', 'delivery']",$$,"{'address1': '1280 Beacon St', 'address2': None, 'address3': '', 'city': 'Brookline', 'zip_code': '02446', 'country': 'US', 'state': 'MA', 'display_address': ['1280 Beacon St', 'Brookline, MA 02446']}",+16177341268,(617) 734-1268,3992.7802298795355
vVF-M6yj3uUljHFZ_WXeiw,oppa-sushi-boston-2,Oppa Sushi,https://s3-media3.fl.yelpcdn.com/bphoto/Z5ZbO_OgCJp5Jv4PejyBiQ/o.jpg,False,https://www.yelp.com/biz/oppa-sushi-boston-2?adjust_creative=wthJPTmKTKIWSlWcsujVAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=wthJPTmKTKIWSlWcsujVAA,324,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'seafood', 'title': 'Seafood'}]",4.5,"{'latitude': 42.350904, 'longitude': -71.1313152}","['pickup', 'delivery']",$$,"{'address1': '185 Harvard Ave', 'address2': '', 'address3': '', 'city': 'Boston', 'zip_code': '02134', 'country': 'US', 'state': 'MA', 'display_address': ['185 Harvard Ave', 'Boston, MA 02134']}",+16172023808,(617) 202-3808,4948.35645082614
